time,wx,wy,wz,yaw,pitch,roll
2024-10-14T10:26:45.861Z,-0.2183,-0.0439,-0.0605,0.1274,0.5537,-0.0390
2024-10-14T10:26:45.872Z,-0.1830,-0.0140,-0.0457,0.1262,0.5507,-0.0389
2024-10-14T10:26:45.882Z,-0.1388,-0.0022,-0.0431,0.1262,0.5507,-0.0389
2024-10-14T10:26:45.892Z,-0.0990,0.0031,-0.0423,0.1254,0.5485,-0.0386
2024-10-14T10:26:45.901Z,-0.0912,0.0203,-0.0375,0.1246,0.5471,-0.0380
2024-10-14T10:26:45.912Z,-0.1195,0.0170,-0.0277,0.1246,0.5471,-0.0380
2024-10-14T10:26:45.922Z,-0.1613,-0.0170,-0.0102,0.1240,0.5457,-0.0374
2024-10-14T10:26:45.931Z,-0.2167,-0.0259,0.0051,0.1237,0.5433,-0.0374
2024-10-14T10:26:45.942Z,-0.2672,-0.0033,0.0196,0.1237,0.5433,-0.0374
2024-10-14T10:26:45.952Z,-0.3089,0.0135,0.0167,0.1237,0.5398,-0.0375
2024-10-14T10:26:45.962Z,-0.3281,0.0286,0.0082,0.1238,0.5352,-0.0372
2024-10-14T10:26:45.972Z,-0.3310,0.0234,0.0047,0.1238,0.5352,-0.0372
2024-10-14T10:26:45.982Z,-0.3139,-0.0036,0.0074,0.1237,0.5303,-0.0367
2024-10-14T10:26:45.992Z,-0.2765,-0.0234,0.0240,0.1236,0.5257,-0.0366
2024-10-14T10:26:46.002Z,-0.2237,-0.0301,0.0482,0.1236,0.5257,-0.0366
2024-10-14T10:26:46.012Z,-0.1783,-0.0335,0.0692,0.1241,0.5221,-0.0372
2024-10-14T10:26:46.021Z,-0.1783,-0.0335,0.0692,0.1252,0.5195,-0.0382
2024-10-14T10:26:46.032Z,-0.1702,-0.0531,0.0769,0.1264,0.5171,-0.0394
2024-10-14T10:26:46.043Z,-0.2125,-0.0263,0.0725,0.1264,0.5171,-0.0394
2024-10-14T10:26:46.051Z,-0.2568,0.0113,0.0485,0.1274,0.5140,-0.0402
2024-10-14T10:26:46.062Z,-0.2974,0.0221,0.0237,0.1274,0.5140,-0.0402
2024-10-14T10:26:46.072Z,-0.3422,0.0189,0.0098,0.1279,0.5099,-0.0400
2024-10-14T10:26:46.082Z,-0.3715,-0.0030,0.0129,0.1278,0.5049,-0.0396
2024-10-14T10:26:46.092Z,-0.3880,-0.0104,0.0295,0.1278,0.5049,-0.0396
2024-10-14T10:26:46.102Z,-0.3748,-0.0035,0.0434,0.1279,0.4992,-0.0397
2024-10-14T10:26:46.111Z,-0.3387,-0.0041,0.0411,0.1284,0.4936,-0.0399
2024-10-14T10:26:46.122Z,-0.3143,0.0139,0.0461,0.1284,0.4936,-0.0399
2024-10-14T10:26:46.132Z,-0.3142,0.0569,0.0560,0.1289,0.4887,-0.0400
2024-10-14T10:26:46.142Z,-0.3397,0.0612,0.0635,0.1296,0.4839,-0.0395
2024-10-14T10:26:46.152Z,-0.4031,0.0768,0.0723,0.1296,0.4839,-0.0395
2024-10-14T10:26:46.162Z,-0.4735,0.1407,0.0754,0.1306,0.4783,-0.0388
2024-10-14T10:26:46.172Z,-0.5291,0.1695,0.0531,0.1315,0.4712,-0.0371
2024-10-14T10:26:46.182Z,-0.5464,0.1985,0.0364,0.1315,0.4712,-0.0371
2024-10-14T10:26:46.192Z,-0.5250,0.1984,0.0324,0.1319,0.4631,-0.0344
2024-10-14T10:26:46.202Z,-0.4640,0.1590,0.0234,0.1322,0.4553,-0.0315
2024-10-14T10:26:46.212Z,-0.3843,0.1104,0.0090,0.1322,0.4553,-0.0315
2024-10-14T10:26:46.222Z,-0.3125,0.0861,-0.0048,0.1322,0.4489,-0.0294
2024-10-14T10:26:46.232Z,-0.2722,0.0654,-0.0055,0.1320,0.4442,-0.0280
2024-10-14T10:26:46.242Z,-0.2915,0.0708,0.0036,0.1320,0.4442,-0.0280
2024-10-14T10:26:46.252Z,-0.3277,0.1389,0.0066,0.1319,0.4400,-0.0268
2024-10-14T10:26:46.262Z,-0.3545,0.2224,0.0134,0.1319,0.4351,-0.0246
2024-10-14T10:26:46.273Z,-0.3658,0.3092,0.0161,0.1320,0.4297,-0.0205
2024-10-14T10:26:46.282Z,-0.3658,0.3092,0.0161,0.1320,0.4297,-0.0205
2024-10-14T10:26:46.292Z,-0.3790,0.2378,-0.0138,0.1319,0.4243,-0.0158
2024-10-14T10:26:46.302Z,-0.3790,0.2378,-0.0138,0.1319,0.4243,-0.0158
2024-10-14T10:26:46.310Z,-0.4432,0.1144,-0.0330,0.1314,0.4181,-0.0129
